scenario_id,theme,breed,pattern,severity_multiplier,wear_quality,noise_dispersion,questionnaire_behavior,n_events_generated,n_days_generated,description
ramp_medium_moderate_bichon_01,gradual_chronic,比熊,ramp_onset,2.0,partial,medium,no_answer,370,42,15天中速爬升到刚好卡在显著阈值(2.0倍)边界，叠加部分佩戴时长不足，测试佩戴质量下降对渐进恶化识别的干扰
ramp_slow_severe_maltese_01,gradual_chronic,马尔济斯,ramp_onset,3.5,loose_days,low,answered_conflicting_worse,216,50,极低基线犬从基线窗口内(第18天)就开始30天超长缓慢爬升到严重程度，叠加项圈松动天数，验证异常提前进入基线窗口且佩戴不稳定时模型鲁棒性
ramp_border_1_5_goldendoodle_02,gradual_chronic,金毛,ramp_onset,1.51,good,medium,not_triggered,659,36,高基线犬12天爬升到刚超过1.5倍明显变化边界(1.51)，验证模型在高基线背景下对边界值的精确判定
ramp_border_3_0_tianyuan_02,gradual_chronic,中华田园犬,ramp_onset,2.98,good,low,answered_consistent,378,40,18天渐进爬升到刚低于3倍严重阈值(2.98)，与另一场景刚超过3倍的案例形成对照，验证严重档位边界的分类精度
decline_fast_recovery_bichon_02,gradual_chronic,比熊,gradual_decline_recovery,4.5,good,medium,answered_conflicting_better,1186,40,严重程度(4.5倍)8天内快速恢复正常，模拟治疗起效迅速，问答反映情况比IMU信号更轻，测试快速康复病程与冲突问答的处理
decline_slow_recovery_maltese_02,gradual_chronic,马尔济斯,gradual_decline_recovery,3.2,sparse_history,low,no_answer,92,9,从严重(3.2倍)缓慢恢复历时30天，叠加冷启动(历史很短就进入观察期)，测试基线数据稀疏时长病程恢复曲线的可辨识度
decline_moderate_recovery_goldendoodle_03,gradual_chronic,金毛,gradual_decline_recovery,2.3,good,medium,answered_consistent,355,42,中等严重度(2.3倍)16天匀速恢复，作为典型对照病例，问答与IMU信号方向一致
decline_border_1_3_tianyuan_03,gradual_chronic,中华田园犬,gradual_decline_recovery,1.29,good,high,not_triggered,338,38,起点仅1.29倍刚低于不算变化阈值边界，恢复过程幅度极小，叠加狗本身高噪声波动，验证模型不会把天然噪声误判为渐进恶化/恢复病程
ramp_high_baseline_bichon_03,gradual_chronic,比熊,ramp_onset,1.8,off_body_days,high,no_answer,756,37,高基线且天然高噪声犬9天爬升到明显变化档(1.8倍)，叠加设备被摘下天数，测试高噪声高基线背景下渐进恶化与佩戴数据缺口的叠加干扰
decline_incomplete_maltese_03,gradual_chronic,马尔济斯,gradual_decline_recovery,2.6,good,low,answered_conflicting_worse,154,36,恢复期贯穿到时间线末尾未完全降回基线，模拟观察窗口截断时恢复未完成的病程，问答显示比IMU信号更严重的冲突情形
ramp_chronic_transition_goldendoodle_04,gradual_chronic,金毛,ramp_onset,2.5,good,medium,answered_consistent,407,48,23天渐进爬升到显著程度且直到时间线结束都未见顶，模拟正在转为慢性、尚未平台期的持续恶化病程，叠加睡眠中断与长时抓挠双红旗
cold_start_sparse_history_stable_01,data_quality_cold_start,比熊,stable,1.0,sparse_history,low,not_triggered,10,8,仅8天历史的冷启动狗，全程稳定无异常，验证history_days_available极小且无真实病变时模型不应误报
cold_start_sparse_history_step_onset_02,data_quality_cold_start,金毛,step_onset,2.2,sparse_history,medium,answered_consistent,73,9,仅3天基线即出现真实阶跃恶化的冷启动狗，验证模型在几乎没有基线窗口时能否仍检测出显著异常（severity 2.2倍显著档）
loose_days_false_signal_healthy_dog_03,data_quality_cold_start,中华田园犬,stable,1.0,loose_days,low,not_triggered,93,35,健康狗但项圈多日松动产生伪抓挠信号，验证模型不会把松动噪声误判为皮肤异常升级
off_body_gap_masking_ramp_onset_04,data_quality_cold_start,马尔济斯,ramp_onset,2.6,off_body_days,medium,answered_consistent,186,40,真实渐进恶化过程中设备被多次摘下产生数据空白，验证缺失天不会掩盖真实爬坡趋势的检测
partial_wear_borderline_severity_05,data_quality_cold_start,金毛,step_onset,1.31,partial,low,no_answer,202,32,佩戴时长不足12小时的多天叠加刚好卡在1.3倍边界的轻微异常，验证部分佩戴天是否会稀释判定导致漏检边界病例
loose_days_masking_true_spike_06,data_quality_cold_start,比熊,single_day_spike,4.5,loose_days,low,answered_consistent,75,34,低基线狗在项圈松动背景噪声中出现单日严重骤发，验证模型能否在松动伪信号干扰下仍捕捉到真正的严重单日峰值
sparse_history_chronic_high_07,data_quality_cold_start,中华田园犬,chronic_high_from_start,3.2,sparse_history,high,answered_conflicting_better,759,9,极短历史且从第0天起就严重且本身高噪声的狗，问答反而报告较轻，测试冷启动+高噪声+问答冲突三重干扰下的严重度判定
off_body_then_partial_recovery_08,data_quality_cold_start,马尔济斯,gradual_decline_recovery,3.8,off_body_days,medium,answered_consistent,287,45,从严重逐渐恢复过程中穿插设备摘下空白天，验证模型能否在数据缺口下正确识别恢复趋势而不是重新判定为新发作
cold_start_loose_days_cyclical_09,data_quality_cold_start,金毛,cyclical,1.9,loose_days,medium,answered_conflicting_worse,178,28,短历史冷启动狗叠加周期性过敏发作及项圈松动天，问答反映比信号更严重，验证多重不确定性下的分级稳健性
partial_wear_spike_recover_edge_10,data_quality_cold_start,比熊,spike_recover,1.5,partial,low,no_answer,99,36,刚好卡在1.5倍档位边界的短暂发作叠加多天佩戴不足，验证部分佩戴是否导致边界严重度被低估或高估
off_body_days_stable_false_negative_check_11,data_quality_cold_start,中华田园犬,stable,1.0,off_body_days,high,not_triggered,174,30,本身高噪声且多日设备摘下的健康狗，验证数据缺口不会被误当作异常或诱发假阳性判定
sparse_history_moderate_onset_12,data_quality_cold_start,马尔济斯,step_onset,2.0,sparse_history,medium,answered_consistent,35,9,极短历史狗在第4天出现刚好卡在2.0倍边界的中度异常，验证冷启动下边界档位判定的稳定性
loose_days_ramp_onset_long_scratch_13,data_quality_cold_start,金毛,ramp_onset,3.0,loose_days,low,answered_consistent,296,38,从基线窗口结束日即刻起爬升到刚好3.0倍严重边界，同时叠加项圈松动天与长时抓挠红旗，验证多信号并存时的综合判定
stable_low_baseline_tibetan_02,noise_baseline_diversity,中华田园犬,stable,1.0,good,low,not_triggered,57,35,极低基线(2次/天)、低噪声中华田园犬全程稳定，验证模型对低绝对次数狗不会误报异常
stable_high_baseline_goldendoodle_03,noise_baseline_diversity,金毛,stable,1.0,good,medium,not_triggered,1195,40,高基线(30次/天)金毛全程稳定，验证模型不因绝对次数高而误判C1/C2，要看倍数不看绝对值
high_noise_dispersion_bichon_04,noise_baseline_diversity,比熊,stable,1.0,good,high,not_triggered,350,42,中基线但天生高波动的比熊，某些天次数会自然飙高，验证模型不把天然噪声误判为异常
high_baseline_mild_bump_maltese_05,noise_baseline_diversity,马尔济斯,step_onset,1.17,good,medium,not_triggered,1145,38,高基线狗从30次/天升到约35次/天(1.17倍)，对应PM文档举例，应判定为无明显变化
low_baseline_moderate_dog_goldendoodle_06,noise_baseline_diversity,金毛,stable,1.0,good,low,not_triggered,96,36,极低基线(3次/天)、低噪声金毛全程稳定对照，与高基线稳定狗形成绝对值对比
boundary_1_3_multiplier_tibetan_07,noise_baseline_diversity,中华田园犬,step_onset,1.29,good,medium,not_triggered,562,37,中基线狗严重度提升到1.29倍，卡在1.3阈值下沿，测试模型是否正确判为无明显变化
boundary_1_31_multiplier_bichon_08,noise_baseline_diversity,比熊,step_onset,1.31,good,medium,not_triggered,361,37,严重度刚超过1.3阈值(1.31倍)，测试模型能否在边界另一侧检出轻微变化(C0/C1边界)
low_noise_dispersion_maltese_09,noise_baseline_diversity,马尔济斯,stable,1.0,good,low,not_triggered,211,33,中低基线、极稳定、低波动的马尔济斯犬，作为最干净的真阴性基准样本
high_noise_high_baseline_goldendoodle_10,noise_baseline_diversity,金毛,stable,1.0,partial,high,not_triggered,1263,45,高基线+高天然波动+部分天佩戴不足的金毛，多重噪声源叠加下仍应判定稳定，压力测试假阳性
sparse_history_cold_start_tibetan_11,noise_baseline_diversity,中华田园犬,stable,1.0,sparse_history,medium,not_triggered,68,9,历史很短就进入观察期的冷启动犬，全程正常，测试模型在缺少完整21天基线时不误报
low_baseline_high_noise_bichon_12,noise_baseline_diversity,比熊,stable,1.0,good,high,not_triggered,132,34,低基线但天然波动大的比熊(次数少时相对波动更明显)，验证低基线+高噪声组合下不误判
medium_baseline_loose_collar_maltese_13,noise_baseline_diversity,马尔济斯,stable,1.0,loose_days,medium,not_triggered,534,39,中基线狗部分天项圈松动导致数据缺口/异常读数，全程实际健康，测试设备质量问题不被误判为皮肤异常
boundary_2x_multiplier_goldendoodle_14,noise_baseline_diversity,金毛,step_onset,1.98,good,low,no_answer,738,36,中基线狗严重度接近2倍阈值下沿(1.98倍)，低噪声背景下测试模型对'明显变化'档位边界的判定
off_body_days_stable_tibetan_15,noise_baseline_diversity,中华田园犬,stable,1.0,off_body_days,medium,not_triggered,182,40,低中基线狗全程健康但有若干天设备被摘下造成数据缺失，测试模型面对数据缺口不产生虚假异常信号
questionnaire_consistent_c2_severe_goldendoodle_01,questionnaire_model_b,金毛,step_onset,3.5,good,low,answered_consistent,287,42,IMU显示严重阶跃升高并触发C2，用户问答描述皮肤红肿破皮，两者方向一致，验证模型能在信号互证时给出更高置信度的严重判定
questionnaire_consistent_c1_moderate_bichon_02,questionnaire_model_b,比熊,ramp_onset,1.8,good,medium,answered_consistent,89,35,中等严重度爬升触发C1，用户问答报告轻度皮屑与偶尔抓挠痕迹，与IMU信号强度一致，验证一致性场景下模型不应过度或不足调整
questionnaire_conflict_worse_licking_maltese_03,questionnaire_model_b,马尔济斯,step_onset,1.4,good,low,answered_conflicting_worse,114,38,IMU抓挠次数仅轻微升高（1.4倍，接近不算变化的边界），但用户问答描述皮肤有明显异味和皮损，提示可能是舔舐而非抓挠导致的病理，IMU存在漏检风险，验证模型能否借助问答上调严重度
questionnaire_conflict_worse_hidden_lesion_tugou_04,questionnaire_model_b,中华田园犬,stable,1.0,good,low,answered_conflicting_worse,171,40,IMU抓挠事件全程稳定无异常（真阴性信号），但用户偶然填写问答报告局部皮肤发红破溃，验证模型不会仅依赖IMU而忽视问答中反映的纯皮肤外观问题（舔舐型病灶IMU完全无法捕捉的极端情况）
questionnaire_conflict_better_habitual_goldendoodle_05,questionnaire_model_b,金毛,chronic_high_from_start,2.2,good,high,answered_conflicting_better,238,36,IMU从第0天起就维持显著偏高的抓挠频率（触发C1甚至C2阈值），但用户问答反复确认皮肤完全正常、无红肿无异味，提示这只狗天然高频抓挠可能是行为习惯而非病理，验证模型不会被单一高噪声个体误判为持续病理状态
questionnaire_conflict_better_spike_bichon_06,questionnaire_model_b,比熊,single_day_spike,4.5,good,low,answered_conflicting_better,45,32,单日剧烈抓挠骤升触发C2级别警报，但用户问答说明当天只是被跳蚤叮咬一次性刺激，皮肤本身无异常且已自行缓解，验证模型对单次尖峰配合问答'更轻'反馈时是否会合理降级而非维持高严重度
questionnaire_no_answer_c1_maltese_07,questionnaire_model_b,马尔济斯,ramp_onset,1.6,good,medium,no_answer,84,34,IMU信号爬升触发C1问答请求，但用户未回答，验证模型在C1无问答情况下仅依赖IMU特征做出合理判定，不因缺失问答而崩溃或偏差
questionnaire_no_answer_c2_tugou_08,questionnaire_model_b,中华田园犬,step_onset,3.2,good,medium,no_answer,380,40,IMU信号严重阶跃触发C2问答请求，但用户始终未回答，验证模型在高严重度且问答缺失场景下仍能仅凭IMU维持正确的C2判定，不因缺答而误降级
questionnaire_not_triggered_stable_goldendoodle_09,questionnaire_model_b,金毛,stable,1.0,good,low,not_triggered,61,33,全程正常无异常，从未触发C1/C2问答，用作真阴性对照，验证模型不会在无问答信号时误报
questionnaire_not_triggered_stable_bichon_10,questionnaire_model_b,比熊,stable,1.0,sparse_history,high,not_triggered,15,9,低基线高天然噪声的比熊，历史记录很短（冷启动），全程未触发问答，验证模型在稀疏历史加高噪声加无问答组合下仍不误判为异常
questionnaire_consistent_boundary_c1_maltese_11,questionnaire_model_b,马尔济斯,step_onset,1.31,good,low,answered_consistent,118,37,严重度倍数刚好卡在1.3边界之上（1.31，属轻微变化档），用户问答描述轻微不适与偶尔挠痒，与IMU信号方向一致，验证模型在边界值上结合问答的判定是否稳定不抖动
questionnaire_conflict_worse_boundary_tugou_12,questionnaire_model_b,中华田园犬,cyclical,1.5,partial,medium,answered_conflicting_worse,156,39,周期性波动恰好卡在1.5倍边界（轻微/明显分界），部分天佩戴不足12小时导致数据缺口，用户问答反映每次发作皮肤都有明显红肿，比IMU波动信号显示得更严重，验证模型在佩戴质量不佳叠加问答冲突时的鲁棒性
questionnaire_consistent_recovery_goldendoodle_13,questionnaire_model_b,金毛,gradual_decline_recovery,3.8,good,medium,answered_consistent,404,50,从严重期逐渐恢复的病程，用户问答随着时间推移从'皮肤破损严重'逐步更新为'明显好转'，与IMU逐渐下降趋势一致，验证模型能否跟随问答与IMU同步下调严重度而非滞后
questionnaire_conflict_better_boundary_bichon_14,questionnaire_model_b,比熊,step_onset,2.05,loose_days,medium,answered_conflicting_better,255,36,严重度略超2倍边界（显著档位入口），叠加项圈松动导致部分天数据不可靠，用户问答却报告皮肤状态良好只是天气热爱挠痒，验证项圈质量问题混杂问答'更轻'反馈时模型是否会误信噪声数据而非合理降权
spike_recover_mild_goldenretriever_01,recovery_fluctuating,金毛,spike_recover,1.31,good,low,not_triggered,125,35,验证模型对刚超过1.3倍轻微变化边界的短期发作（5天）不过度报警
spike_recover_borderline_low_bichon_02,recovery_fluctuating,比熊,spike_recover,1.29,good,medium,not_triggered,82,34,验证低基线比熊在1.29倍（未达变化阈值）时模型不误判为异常
spike_recover_moderate_bichon_03,recovery_fluctuating,比熊,spike_recover,1.8,good,medium,answered_consistent,97,38,验证中等发作（1.8倍，7天）叠加夜间聚集抓挠+问卷一致反馈时能正确升级为C1
spike_recover_severe_maltese_04,recovery_fluctuating,马尔济斯,spike_recover,3.2,good,low,answered_consistent,70,40,验证低基线马尔济斯长时间(10天)严重发作(3.2倍)叠加长抓挠红旗能可靠触发C2
spike_recover_slow_taper_ruralmixed_05,recovery_fluctuating,中华田园犬,spike_recover,2.1,partial,high,no_answer,419,45,验证中基线田园犬缓慢恢复(13天)的显著发作在佩戴不完整+高噪声+无问卷回应下的鲁棒性
spike_recover_fast_taper_goldenretriever_06,recovery_fluctuating,金毛,spike_recover,1.55,good,medium,answered_conflicting_better,470,32,验证高基线金毛快速恢复(3天)轻度发作叠加问卷反馈更好但客观数据仍轻微升高时的一致性处理
spike_recover_conflicting_worse_maltese_07,recovery_fluctuating,马尔济斯,spike_recover,1.9,good,low,answered_conflicting_worse,119,36,验证问卷主诉比客观数据更严重(明显档但夜间打扰)时模型是否倾向保守升级为C2
spike_recover_loose_wear_ruralmixed_08,recovery_fluctuating,中华田园犬,spike_recover,2.4,loose_days,high,no_answer,341,42,验证佩戴松动天数导致数据缺口时显著发作(6天)是否仍能被正确捕捉不漏检
cyclical_short_period_two_cycles_bichon_09,recovery_fluctuating,比熊,cyclical,1.7,good,medium,not_triggered,107,50,验证7天短周期、2轮中度波动的季节性/过敏样抓挠模式能被识别为周期性C1
cyclical_long_period_three_cycles_goldenretriever_10,recovery_fluctuating,金毛,cyclical,2.5,good,low,answered_consistent,888,60,验证14天长周期、3轮显著波动叠加夜间打扰能触发持续性C2风险提示而非单次误报
cyclical_short_period_severe_maltese_11,recovery_fluctuating,马尔济斯,cyclical,3.5,good,low,answered_consistent,72,45,验证低基线马尔济斯高频短周期严重发作(3.5倍)叠加长抓挠红旗时模型能持续维持C2判断
cyclical_mild_borderline_ruralmixed_12,recovery_fluctuating,中华田园犬,cyclical,1.35,sparse_history,high,no_answer,84,9,验证历史数据稀疏+高噪声下轻微周期性波动(刚过1.3阈值)是否被过度检出为异常
cyclical_conflicting_better_bichon_13,recovery_fluctuating,比熊,cyclical,2.0,partial,medium,answered_conflicting_better,195,44,验证明显档周期性波动叠加佩戴不完整+主人自述好转时模型是否仍依据客观数据保持C1警觉
single_day_spike_moderate_goldenretriever_14,recovery_fluctuating,金毛,single_day_spike,1.6,good,medium,not_triggered,316,33,验证单日中度骤升(1.6倍)在高基线金毛中不被基线噪声淹没也不被过度放大为C2
single_day_spike_extreme_maltese_15,recovery_fluctuating,马尔济斯,single_day_spike,4.5,good,low,answered_consistent,36,34,验证极端单日骤升(4.5倍)叠加长抓挠红旗与夜间打扰能被灵敏识别为孤立高危事件并升级C2
single_day_spike_offbody_bichon_16,recovery_fluctuating,比熊,single_day_spike,2.8,off_body_days,medium,no_answer,62,36,验证设备存在离体天数缺失数据的情况下，单日显著骤升(2.8倍)是否仍能被正确检出不漏报
single_day_spike_mild_ruralmixed_17,recovery_fluctuating,中华田园犬,single_day_spike,1.32,good,high,answered_conflicting_worse,310,30,验证高噪声中基线田园犬单日刚超阈值(1.32倍)骤升叠加主诉更严重时模型的边界判断一致性
single_day_spike_conflict_goldenretriever_18,recovery_fluctuating,金毛,single_day_spike,3.6,good,medium,answered_conflicting_better,608,31,验证高基线金毛单日严重骤升(3.6倍)叠加长抓挠+夜间打扰，即使问卷反馈较好模型仍应基于客观数据判定为高风险
